source_file,category_name_original,category_name_english,item_name_original,item_name_english,item_description_original,item_price,item_additional_notes
Harits_New Taipei City (42).json,午餐特餐,Lunch special,青醬燉飯與鹽之花烤什疏(素),Baked vegetables & risotto w/pesto sauce,,$780,
Harits_New Taipei City (42).json,午餐特餐,Lunch special,荷蘭汁烤鱸魚與豬里肌搭西班牙火腿,Baked pork loin & sea bass w/Hollandaise sauce,,$980,
Harits_New Taipei City (42).json,午餐特餐,Lunch special,官邸慢燉小羊膝,Stewed lamb shank,,$1080,
Harits_New Taipei City (42).json,午餐特餐,Lunch special,厚切美國 prime 沙朗牛排(14oz),U.S. D. A. Prime sirloin steak,,$1580,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,義大利濃縮咖啡,Espresso,,$170,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,特調冰咖啡,Iced coffee,,$220,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,美式咖啡,Americano,,$180,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,冰濃縮咖啡,Double espresso shake,,$200,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,手沖綜合咖啡,Blend Coffee,,$200,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,冰拿鐵,Iced latte,,$250,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,卡布基诺,Cappuccino,,$220,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,冰摩卡基諾,Iced mochaccino,,$260,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,拿鐵,Caffe latte,,$240,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,漂浮冰淇淋咖啡,Coffee float,,$260,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,摩卡基諾,Mochaccino,,$250,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,濃縮咖啡+冰淇淋,Espresso & ice cream,,$280,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,皇家咖啡(加VSOP),Coffee royal,,$300,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,咖啡奶昔,Coffee milkshake,,$300,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,焦糖卡布基诺,Caramel cappuccino,,$250,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,曼巴手沖咖啡,Mandheling & Brasil,,$230,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,耶加雪菲,yirgacheffe,,$250,
Harits_New Taipei City (43).json,冰咖啡,Iced coffee,黃金曼特林,Golden Mandheling,,$250,
Harits_New Taipei City (41).json,主菜,Main course,美國 Prime 肋眼牛排(10oz),U.S. D. A. prime ribeye steak,,$1280,
Harits_New Taipei City (41).json,主菜,Main course,油封功夫鴨腿,Confit de canard,,$850,
Harits_New Taipei City (41).json,主菜,Main course,安格斯 Prime 無骨牛小排(8oz),U.S. Angus prime boneless short rib,,$1580,
Harits_New Taipei City (41).json,主菜,Main course,煎烤龍膽石斑佐油漬松露切片,Giant grouper w/oily truffle,,$1180,
Harits_New Taipei City (41).json,主菜,Main course,美國 Prime 菲力牛排(6oz) 佐義大利牛肝菌,U.S. D. A. prime filet steak,,$1580,
Harits_New Taipei City (41).json,主菜,Main course,烤法國春雞,Roasted French spring chicken,,$780,"*需時40分鐘,限量供應*"
Harits_New Taipei City (41).json,主菜,Main course,肋眼上蓋-老饕牛排(4 oz)搭 七星斑紅條魚,U.S.D. A. ribeye cap & red coral trout,,$1980,
Harits_New Taipei City (41).json,主菜,Main course,法國鹽之花爐烤青衣魚,Baked green wrasse w/fleur de sel,,$980,
Harits_New Taipei City (41).json,主菜,Main course,法式小羔羊排佐鯷魚芥末醬,Roasted lamb chops w/ anchovy & pommery mustard sauce,,$1680,
Harits_New Taipei City (41).json,主菜,Main course,菲力牛排佐香煎法式鵝肝,Filet steak & foie gras,,$2080,
Harits_New Taipei City (41).json,主菜,Main course,海陸特餐(頂級無骨牛小排 + 龍蝦尾),Surf & Turf,,$2180,
Harits_New Taipei City (41).json,主菜,Main course,龍蝦大蛤蘆筍天使細麵,Angel hair w/ lobster & big clams,,$780,
Harits_New Taipei City (41).json,主菜,Main course,厚切20盎司肋眼牛排,U.S. prime rib eye steak (20 oz),,$3680,雙人套餐
brendon_順吉海鮮快炒_0.json,川燙類,,白 蝦,,,220,
brendon_順吉海鮮快炒_0.json,川燙類,,鹹豬肉,,,200,
brendon_順吉海鮮快炒_0.json,川燙類,,海瓜子,,,180,
brendon_順吉海鮮快炒_0.json,川燙類,,飛魚卵香腸,,,200,
brendon_順吉海鮮快炒_0.json,川燙類,,中 卷,,,時價,
brendon_順吉海鮮快炒_0.json,川燙類,,塔香黑螺肉,,,180,
brendon_順吉海鮮快炒_0.json,川燙類,,活 蝦,,,時價,
brendon_順吉海鮮快炒_0.json,川燙類,,糖醋魚片,,,180,
brendon_順吉海鮮快炒_0.json,川燙類,,墨魚香腸,,,200,
brendon_順吉海鮮快炒_0.json,川燙類,,橙汁魚片,,,180,
brendon_順吉海鮮快炒_0.json,季節時蔬,,蒜泥白肉,,,180,
brendon_順吉海鮮快炒_0.json,酥炸類,,高麗菜,,,120,
brendon_順吉海鮮快炒_0.json,酥炸類,,薑絲大腸,,,180,
brendon_順吉海鮮快炒_0.json,酥炸類,,花枝丸,,,150,
brendon_順吉海鮮快炒_0.json,酥炸類,,芹菜花枝,,,180,
brendon_順吉海鮮快炒_0.json,酥炸類,,龍鬚菜,,,120,
brendon_順吉海鮮快炒_0.json,酥炸類,,三鮮,,,200,
brendon_順吉海鮮快炒_0.json,酥炸類,,龍 珠,,,180,
brendon_順吉海鮮快炒_0.json,酥炸類,,娃娃菜,,,120,
brendon_順吉海鮮快炒_0.json,酥炸類,,客家小炒,,,200,
brendon_順吉海鮮快炒_0.json,酥炸類,,海鮮卷,,,180,
brendon_順吉海鮮快炒_0.json,酥炸類,,苦瓜鹹蛋,,,120,
brendon_順吉海鮮快炒_0.json,酥炸類,,蚵仔酥,,,200,
brendon_順吉海鮮快炒_0.json,酥炸類,,五更腸旺,,,200,
brendon_順吉海鮮快炒_0.json,酥炸類,,蔥爆牛肉,,,200,
brendon_順吉海鮮快炒_0.json,酥炸類,,四季肥腸,,,200,
brendon_順吉海鮮快炒_0.json,酥炸類,,魚皮白菜滷,,,200,
brendon_順吉海鮮快炒_0.json,湯 類,,鳳梨蝦球,,,200,
brendon_順吉海鮮快炒_0.json,湯 類,,蟹黄海鮮煲,,,200,
brendon_順吉海鮮快炒_0.json,湯 類,,脆皮肥腸,,,220,
brendon_順吉海鮮快炒_0.json,湯 類,,蚵仔湯,,,180,
brendon_順吉海鮮快炒_0.json,湯 類,,蛤仔湯,,,180,
brendon_順吉海鮮快炒_0.json,湯 類,,金沙豆腐,,,220,
brendon_順吉海鮮快炒_0.json,湯 類,,糖醋排骨,,,200,
brendon_順吉海鮮快炒_0.json,湯 類,,橙汁排骨,,,200,
brendon_順吉海鮮快炒_0.json,湯 類,,月亮蝦餅,,,220,
brendon_順吉海鮮快炒_0.json,湯 類,,味噌魚湯,,,180,
brendon_順吉海鮮快炒_0.json,湯 類,,蒜頭雞蛤仔湯,,,350,
brendon_順吉海鮮快炒_0.json,湯 類,,蒜苗鯊魚,,,200,
brendon_順吉海鮮快炒_0.json,湯 類,,金沙中卷,,,時價,
brendon_順吉海鮮快炒_0.json,湯 類,,剝皮辣椒雞湯,,,500,
brendon_順吉海鮮快炒_0.json,湯 類,,豆鼓虱目魚肚,,,220,
brendon_順吉海鮮快炒_0.json,湯 類,,麻辣水煮牛,,,250,
brendon_順吉海鮮快炒_0.json,湯 類,,鳳梨苦瓜雞湯,,,500,
brendon_順吉海鮮快炒_0.json,湯 類,,豆鼓鮮蚵,,,260,
brendon_順吉海鮮快炒_0.json,湯 類,,魷魚螺肉蒜,,,500,
brendon_順吉海鮮快炒_0.json,湯 類,,蒜泥鮮蚵,,,260,
brendon_順吉海鮮快炒_0.json,飯麵類,,油條鮮蚵,,,260,
brendon_順吉海鮮快炒_0.json,飯麵類,,蝦仁炒飯,,,80,
brendon_順吉海鮮快炒_0.json,飯麵類,,梅干扣肉,,,280,
brendon_順吉海鮮快炒_0.json,飯麵類,,肉絲蚵仔炒麵,,,80,
brendon_順吉海鮮快炒_0.json,本港現撈魚,,麻油松板肉,,,300,
brendon_順吉海鮮快炒_0.json,本港現撈魚,,海鮮粥,,,260,
brendon_順吉海鮮快炒_0.json,本港現撈魚,,清蒸,,,,
brendon_順吉海鮮快炒_0.json,本港現撈魚,,鮮魚米粉湯,,,260,
brendon_順吉海鮮快炒_0.json,本港現撈魚,,紅燒,,,,
brendon_順吉海鮮快炒_0.json,本港現撈魚,,筍絲問蹄膀,,,680,
brendon_順吉海鮮快炒_0.json,三杯類,,乾煎,,,,
brendon_順吉海鮮快炒_0.json,三杯類,,三杯皮蛋,,,250,
