item_name_original,item_name_english,category_standardized
青醬燉飯與鹽之花烤什疏(素),Baked vegetables & risotto w/pesto sauce,Other
荷蘭汁烤鱸魚與豬里肌搭西班牙火腿,Baked pork loin & sea bass w/Hollandaise sauce,Other
官邸慢燉小羊膝,Stewed lamb shank,Other
厚切美國 prime 沙朗牛排(14oz),U.S. D. A. Prime sirloin steak,Other
義大利濃縮咖啡,Espresso,Beverages (Non-Alcoholic)
特調冰咖啡,Iced coffee,Beverages (Non-Alcoholic)
美式咖啡,Americano,Beverages (Non-Alcoholic)
冰濃縮咖啡,Double espresso shake,Beverages (Non-Alcoholic)
手沖綜合咖啡,Blend Coffee,Beverages (Non-Alcoholic)
冰拿鐵,Iced latte,Beverages (Non-Alcoholic)
卡布基诺,Cappuccino,Beverages (Non-Alcoholic)
冰摩卡基諾,Iced mochaccino,Beverages (Non-Alcoholic)
拿鐵,Caffe latte,Beverages (Non-Alcoholic)
漂浮冰淇淋咖啡,Coffee float,Beverages (Non-Alcoholic)
摩卡基諾,Mochaccino,Beverages (Non-Alcoholic)
濃縮咖啡+冰淇淋,Espresso & ice cream,Beverages (Non-Alcoholic)
皇家咖啡(加VSOP),Coffee royal,Beverages (Non-Alcoholic)
咖啡奶昔,Coffee milkshake,Beverages (Non-Alcoholic)
焦糖卡布基诺,Caramel cappuccino,Beverages (Non-Alcoholic)
曼巴手沖咖啡,Mandheling & Brasil,Beverages (Non-Alcoholic)
耶加雪菲,yirgacheffe,Beverages (Non-Alcoholic)
黃金曼特林,Golden Mandheling,Beverages (Non-Alcoholic)
美國 Prime 肋眼牛排(10oz),U.S. D. A. prime ribeye steak,Mains
油封功夫鴨腿,Confit de canard,Mains
安格斯 Prime 無骨牛小排(8oz),U.S. Angus prime boneless short rib,Mains
煎烤龍膽石斑佐油漬松露切片,Giant grouper w/oily truffle,Mains
美國 Prime 菲力牛排(6oz) 佐義大利牛肝菌,U.S. D. A. prime filet steak,Mains
烤法國春雞,Roasted French spring chicken,Mains
肋眼上蓋-老饕牛排(4 oz)搭 七星斑紅條魚,U.S.D. A. ribeye cap & red coral trout,Mains
法國鹽之花爐烤青衣魚,Baked green wrasse w/fleur de sel,Mains
法式小羔羊排佐鯷魚芥末醬,Roasted lamb chops w/ anchovy & pommery mustard sauce,Mains
菲力牛排佐香煎法式鵝肝,Filet steak & foie gras,Mains
海陸特餐(頂級無骨牛小排 + 龍蝦尾),Surf & Turf,Mains
龍蝦大蛤蘆筍天使細麵,Angel hair w/ lobster & big clams,Mains
厚切20盎司肋眼牛排,U.S. prime rib eye steak (20 oz),Mains
白 蝦,,Sides & Accompaniments
鹹豬肉,,Sides & Accompaniments
海瓜子,,Sides & Accompaniments
飛魚卵香腸,,Sides & Accompaniments
中 卷,,Sides & Accompaniments
塔香黑螺肉,,Sides & Accompaniments
活 蝦,,Sides & Accompaniments
糖醋魚片,,Sides & Accompaniments
墨魚香腸,,Sides & Accompaniments
橙汁魚片,,Sides & Accompaniments
蒜泥白肉,,Sides & Accompaniments
高麗菜,,Snacks & Small Bites
薑絲大腸,,Snacks & Small Bites
花枝丸,,Snacks & Small Bites
芹菜花枝,,Snacks & Small Bites
龍鬚菜,,Snacks & Small Bites
三鮮,,Snacks & Small Bites
龍 珠,,Snacks & Small Bites
娃娃菜,,Snacks & Small Bites
客家小炒,,Snacks & Small Bites
海鮮卷,,Snacks & Small Bites
苦瓜鹹蛋,,Snacks & Small Bites
蚵仔酥,,Snacks & Small Bites
五更腸旺,,Snacks & Small Bites
蔥爆牛肉,,Snacks & Small Bites
四季肥腸,,Snacks & Small Bites
魚皮白菜滷,,Snacks & Small Bites
鳳梨蝦球,,Soups
蟹黄海鮮煲,,Soups
脆皮肥腸,,Soups
蚵仔湯,,Soups
蛤仔湯,,Soups
金沙豆腐,,Soups
糖醋排骨,,Soups
橙汁排骨,,Soups
月亮蝦餅,,Soups
味噌魚湯,,Soups
蒜頭雞蛤仔湯,,Soups
蒜苗鯊魚,,Soups
金沙中卷,,Soups
剝皮辣椒雞湯,,Soups
豆鼓虱目魚肚,,Soups
麻辣水煮牛,,Soups
鳳梨苦瓜雞湯,,Soups
豆鼓鮮蚵,,Soups
魷魚螺肉蒜,,Soups
蒜泥鮮蚵,,Soups
油條鮮蚵,,Pasta / Noodles / Rice
蝦仁炒飯,,Pasta / Noodles / Rice
梅干扣肉,,Pasta / Noodles / Rice
肉絲蚵仔炒麵,,Pasta / Noodles / Rice
麻油松板肉,,Other
海鮮粥,,Other
清蒸,,Other
鮮魚米粉湯,,Other
紅燒,,Other
筍絲問蹄膀,,Other
乾煎,,Mains
三杯皮蛋,,Mains
鹽烤,,Mains
三杯 田雞,,Mains
活蝦,,Mains
珍味佛跳牆,,Mains
三杯中卷,,Mains
桂花螃蟹,,Mains
重慶麻辣烤魚,,Other
生魚片,,Other
魚蛋沙拉,,Other
脆皮油雞,,Other
碳烤魷魚,,Other
炒白蝦,,Other
煎鐵板蚵仔蛋,,Other
碳烤香腸,,Other
燙白蝦,,Other
燙生魷魚,,Other
燙鮮蚵仔,,Other
碳烤鮮魚,,Other
鮮魚湯,,Other
碳烤鳳螺,,Other
代客烤,,Other
蚵仔湯,,Other
綜合煎,,Other
蛤蜊湯,,Other
蚵嗲 花枝丸,,Other
蚵仔煎,,Other
蝦仁煎,,Other
各類酥炸海鮮,,Other
炒海鮮麵,,Other
海鮮湯麵,,Other
台啤金牌,,Other
海鮮粥,,Other
台啤金牌,,Other
蝦仁蛋炒飯,,Other
炒蛤蜊,,Other
海尼根,,Other
炒青菜,,Other
各類飲品,,Other
櫻花蝦蛋炒飯,,Other
肉焿麵,,Pasta / Noodles / Rice
大腸麵線,,Pasta / Noodles / Rice
魷魚焿麵,,Pasta / Noodles / Rice
綜合焿麵,,Pasta / Noodles / Rice
蚵仔麵線,,Pasta / Noodles / Rice
肉焿米粉,,Pasta / Noodles / Rice
乾麵,,Pasta / Noodles / Rice
肉焿麵線,,Pasta / Noodles / Rice
肉焿湯,,Soups
綜合麵線,,Soups
魷魚焿湯,,Soups
綜合焿湯,,Soups
清麵線,,Soups
清焿湯,,Soups
竹筍湯,,Soups
魯蛋,,Pasta / Noodles / Rice
焢肉飯,,Pasta / Noodles / Rice
涼拌小黃瓜,,Pasta / Noodles / Rice
燙青菜,,Pasta / Noodles / Rice
肉焿飯,,Pasta / Noodles / Rice
魷魚焿飯,,Pasta / Noodles / Rice
魯大腸,,Pasta / Noodles / Rice
燙魷魚,,Pasta / Noodles / Rice
綜合飯,,Pasta / Noodles / Rice
肉焿冬粉,,Pasta / Noodles / Rice
漫鮮蚵,,Pasta / Noodles / Rice
豬頭皮,,Pasta / Noodles / Rice
蒜泥白肉,,Desserts & Sweets
原味葡式,,Desserts & Sweets
抹茶紅豆,,Desserts & Sweets
日式香酥豬排,,Desserts & Sweets
紅茶,,Desserts & Sweets
冬瓜,,Desserts & Sweets
沖繩黑糖,,Desserts & Sweets
比利時巧克力,,Desserts & Sweets
BBQ燒烤雞腿,,Desserts & Sweets
咖啡,,Desserts & Sweets
百香果,,Desserts & Sweets
北海道鮮奶,,Desserts & Sweets
日式養生竹炭,,Desserts & Sweets
日式香烤鯖魚,,Desserts & Sweets
蕃茄牛腩飯,,Desserts & Sweets
6顆/盒,,Beverages (Non-Alcoholic)
養生雞酒飯,,Beverages (Non-Alcoholic)
麻油猴頭菇,,Beverages (Non-Alcoholic)
原味綠茶,,Beverages (Non-Alcoholic)
麻油猴頭菇,,Snacks & Small Bites
原味紅茶,,Snacks & Small Bites
青檸百香果,,Snacks & Small Bites
香酥脆薯,,Snacks & Small Bites
特調奶茶,,Snacks & Small Bites
鮮嫰炸雞塊,,Snacks & Small Bites
初戀羅望子,,Mains
洋蔥圈,,Mains
經典咖啡,,Mains
地瓜球,,Mains
南洋風味叻沙鍋,,Mains
洛神烏梅汁,,Mains
蕃茄牛腩鍋,,Mains
決明子菊花茶,,Mains
厚切手工甜不辣,,Mains
法式可可,,Mains
養生雞酒鍋,,Mains
微笑薯餅,,Mains
薑汁撞奶,,Mains
(麻油)菇菇養生鍋,,Mains
經濟雙拼,,Mains
薑汁檸檬,,Mains
(麻油)菇菇養生鍋,,Mains
豪華三拼,,Mains
百香綠茶,,Mains
百香紅茶,,Mains
咖啡,,Mains
紅茶拿鐵,,Beverages (Non-Alcoholic)
羅望子,,Beverages (Non-Alcoholic)
拿鐵咖啡,,Beverages (Non-Alcoholic)
仲夏野莓,,Beverages (Non-Alcoholic)
百香果,,Beverages (Non-Alcoholic)
伯爵茶,Earl Grey,Beverages (Non-Alcoholic)
翡翠綜合,,Beverages (Non-Alcoholic)
酪梨布丁,,Beverages (Non-Alcoholic)
綠拿鐵,,Other
在地鮮羊乳,,Other
時令果汁,,Other
在地鮮羊乳,,Other
蚵仔湯,Clear oyster soup,Soups
香菇雞片湯,Clear soup with chicken and mushrooms,Soups
薑絲蛤蜊湯,Clam and ginger soup,Soups
酸菜肚片湯,Clear soup with pork stomach and preserved mustard greens,Soups
魩仔魚羹,Anchovy and green vegetable broth,Soups
家常酸辣湯,Hot and sour soup,Soups
手打魷魚羹,Superior squid broth with bamboo shoots,Soups
雞蓉玉米湯,Chicken and corn soup,Soups
番茄海鮮湯,Tomato broth with seafood,Soups
野菜山蘇,,Sides & Accompaniments
季節時蔬,,Sides & Accompaniments
古味滷筍,,Sides & Accompaniments
清炒百合,,Sides & Accompaniments
淮山蘆筍,,Sides & Accompaniments
百合蘆筍,,Sides & Accompaniments
