model,class,precision,recall,f1,support
Logistic Regression,Alcohol & Cocktails,0.23728813559322035,0.47191011235955055,0.3157894736842105,89
Logistic Regression,Appetizers & Starters,0.2584070796460177,0.6460176991150443,0.3691529709228824,226
Logistic Regression,Beverages (Non-Alcoholic),0.393646408839779,0.5734406438631791,0.4668304668304668,497
Logistic Regression,Breakfast & Brunch,0.5846153846153846,0.7802874743326489,0.6684256816182937,487
Logistic Regression,Desserts & Sweets,0.3729508196721312,0.5083798882681564,0.4302600472813239,179
Logistic Regression,Mains,0.4724310776942356,0.3516791044776119,0.4032085561497326,1072
Logistic Regression,Other,0.6418918918918919,0.19791666666666666,0.30254777070063693,1920
Logistic Regression,Pasta / Noodles / Rice,0.4444444444444444,0.42677824267782427,0.43543223052294555,956
Logistic Regression,Salads & Cold Dishes,0.17553191489361702,0.29596412556053814,0.22036727879799667,223
Logistic Regression,Set Meals & Combos,0.330188679245283,0.5223880597014925,0.4046242774566474,201
Logistic Regression,Sides & Accompaniments,0.2934947049924357,0.38645418326693226,0.3336199484092863,502
Logistic Regression,Snacks & Small Bites,0.30324074074074076,0.5,0.37752161383285304,262
Logistic Regression,Soups,0.34676258992805753,0.4496268656716418,0.3915515840779854,536
Logistic Regression,_macro_avg_,0.373453374784403,0.4700648512277913,0.39379476156040466,7150
Logistic Regression,_weighted_avg_,0.4627348168714694,0.398041958041958,0.38912221612063713,7150
Multinomial Naive Bayes,Alcohol & Cocktails,0.0,0.0,0.0,89
Multinomial Naive Bayes,Appetizers & Starters,0.0,0.0,0.0,226
Multinomial Naive Bayes,Beverages (Non-Alcoholic),0.6893203883495146,0.14285714285714285,0.23666666666666666,497
Multinomial Naive Bayes,Breakfast & Brunch,0.7533783783783784,0.45790554414784396,0.5696040868454662,487
Multinomial Naive Bayes,Desserts & Sweets,0.0,0.0,0.0,179
Multinomial Naive Bayes,Mains,0.43431053203040176,0.373134328358209,0.4014049172102358,1072
Multinomial Naive Bayes,Other,0.3114660581859669,0.853125,0.45633096531550355,1920
Multinomial Naive Bayes,Pasta / Noodles / Rice,0.5658198614318707,0.25627615062761505,0.35277177825773937,956
Multinomial Naive Bayes,Salads & Cold Dishes,0.0,0.0,0.0,223
Multinomial Naive Bayes,Set Meals & Combos,0.0,0.0,0.0,201
Multinomial Naive Bayes,Sides & Accompaniments,0.26666666666666666,0.02390438247011952,0.043875685557586835,502
Multinomial Naive Bayes,Snacks & Small Bites,0.0,0.0,0.0,262
Multinomial Naive Bayes,Soups,0.48314606741573035,0.08022388059701492,0.1376,536
Multinomial Naive Bayes,_macro_avg_,0.269546765573733,0.1682635714659958,0.1690964692194768,7150
Multinomial Naive Bayes,_weighted_avg_,0.37857901701594304,0.3681118881118881,0.29853301572678637,7150
Random Forest,Alcohol & Cocktails,0.24271844660194175,0.2808988764044944,0.2604166666666667,89
Random Forest,Appetizers & Starters,0.47107438016528924,0.252212389380531,0.3285302593659942,226
Random Forest,Beverages (Non-Alcoholic),0.46680497925311204,0.45271629778672035,0.45965270684371806,497
Random Forest,Breakfast & Brunch,0.6451612903225806,0.6981519507186859,0.6706114398422091,487
Random Forest,Desserts & Sweets,0.4462809917355372,0.3016759776536313,0.36,179
Random Forest,Mains,0.4284064665127021,0.3460820895522388,0.3828689370485036,1072
Random Forest,Other,0.3802163833075734,0.5125,0.43655723158828746,1920
Random Forest,Pasta / Noodles / Rice,0.42374854481955765,0.3807531380753138,0.40110192837465564,956
Random Forest,Salads & Cold Dishes,0.16774193548387098,0.11659192825112108,0.13756613756613756,223
Random Forest,Set Meals & Combos,0.41216216216216217,0.3034825870646766,0.3495702005730659,201
Random Forest,Sides & Accompaniments,0.28388746803069054,0.22111553784860558,0.24860022396416573,502
Random Forest,Snacks & Small Bites,0.33707865168539325,0.3435114503816794,0.34026465028355385,262
Random Forest,Soups,0.3524904214559387,0.34328358208955223,0.34782608695652173,536
Random Forest,_macro_avg_,0.38905939396433464,0.3502289080928654,0.36335126685180613,7150
Random Forest,_weighted_avg_,0.4039898597149648,0.4044755244755245,0.3986435258114186,7150
